,exp #,gen #,CHIR99021,SP600125,Dexameth,rhGM-CSF,rhSCF,rhIGF-1,AA,Y27632,ALB,FN,GL,CH,ITS,bME,PY,rep ct #1,rep ct #2,rep ct #3,rep ct #4,mean (rep ct),PC fold chg,count threshold,normalized cell count,Col26 (mean+1),Col27 (log Col26),Residual Col27 Exp#1,Residual Col27 Exp#2,Residual Col27 Exp#3,Col32 (log foldchg w/ +threshold),Col33 (std dev),Col34 (Col32+noise),Penicillin (units/mL),Streptomycin (µg/mL),CHIR99021 (µM),SP600125 (µM),Dexamethasone (nM),Recombinant Human GM-CSF (rhGM-CSF) (ng/mL),Recombinant Human SCF (rhSCF) (ng/mL),Recombinant Human IGF-1 (rhIGF-1) (ng/mL),Ascorbic Acid (AA) (µM),Y27632 (µM),Albumin (ALB) (mg/mL),Fibronectin (FN) (µg/mL),GlutaMAX Supplement (GL) (mM),Cholesterol Concentrate (CH) (µg/mL),ITS Supplement,Sodium Pyruvate (PY) (mM),β-mercaptoethanol (bME) (µM),CHIR Component A (µM),CHIR Component B (µM),SP600125 Active (µM),SP600125 Inactive (µM),Dex Active (nM),Dex Inactive (nM),IGF-1 Active (ng/mL),IGF-1 Inactive (ng/mL),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),bME Active (µM),bME Inactive (µM)
67,1,1,0,2,0,4,5,5,4,1,4,4,3,1,1,1,2,210050.0,196450.0,187350.0,247950.0,210450.0,11.79277778,50.0,17845.668249334212,210451.0,5.323150993725999,0.231085423098091,,,1.147160841116006,0.4980266,1.147160841116006,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
68,1,1,4,3,5,5,5,4,3,5,2,1,2,1,3,2,0,100.0,50.0,16.66666667,0.0,41.6666666675,11.79277778,50.0,3.5332359724580518,42.6666666675,1.6300887149366883,-0.21986399468092244,,,-2.2138798199411327,0.4980266,-2.2138798199411327,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
69,1,1,5,0,5,5,3,4,3,5,3,0,3,1,3,3,3,133.3333333,16.66666667,33.33333333,16.66666667,49.9999999925,11.79277778,50.0,4.239883166228882,50.9999999925,1.7075701760340696,-0.7567196228516471,,,-2.1760912590882535,0.4980266,-2.1760912590882535,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
70,1,1,3,4,1,5,2,2,4,1,1,1,2,2,3,2,3,200.0,50.0,50.0,33.33333333,83.3333333325,11.79277778,50.0,7.066471944704109,84.3333333325,1.9259992664518641,-0.8761693540915081,,,-2.0511525224500957,0.4980266,-2.0511525224500957,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
71,1,1,5,2,3,2,4,2,5,0,4,2,0,5,3,0,3,33.33333333,0.0,0.0,50.0,20.8333333325,11.79277778,50.0,1.7666179861230287,21.8333333325,1.3391200452555445,-0.9585603867672825,,,-2.325853579394123,0.4980266,-2.325853579394123,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
72,1,1,3,3,4,3,1,2,3,5,2,5,3,5,3,2,2,2350.0,3316.666667,2750.0,2650.0,2766.66666675,11.79277778,50.0,234.60686857358894,2767.66666675,3.442113783216665,-0.13183108450341807,,,-0.7263558048128024,0.4980266,-0.7263558048128024,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
73,1,1,5,4,5,1,4,0,2,5,4,4,3,5,0,3,0,33.33333333,0.0,16.66666667,16.66666667,16.6666666675,11.79277778,50.0,1.4132943890256193,17.6666666675,1.2471546149016122,0.7395813746951856,,,-2.3521825181059337,0.4980266,-2.3521825181059337,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
74,1,1,4,3,5,5,3,1,3,5,5,2,2,5,1,0,3,2333.333333,1850.0,1983.333333,1866.666667,2008.3333332500001,11.79277778,50.0,170.30197386200558,2009.3333332500001,3.30305198890492,-1.0058547355774219,,,-0.8625755518612231,0.4980266,-0.8625755518612231,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
75,1,1,2,2,0,5,4,0,2,5,1,3,3,5,1,0,1,94950.0,94383.33333,124516.6667,121933.3333,108945.8333325,11.79277778,50.0,9238.352096930636,108946.8333325,5.037214611487204,-0.11121175636837499,,,0.8613186370932867,0.4980266,0.8613186370932867,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
76,1,1,4,2,5,2,4,1,4,4,1,4,5,1,3,2,3,33.33333333,50.0,33.33333333,66.66666667,45.833333332500004,11.79277778,50.0,3.886559569555461,46.833333332500004,1.6705550695137086,-0.571305735389591,,,-2.1945746647534707,0.4980266,-2.1945746647534707,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
