,exp#,gen #,bME,LS1000,PY,ITS,ALB,MEMAA,ARG,GLU,CB6,IL-2,IL-12,IL-18,IL-21,VS,Cell count,FoldChg,PosCont FC,PC-norm FC,log foldchg,Penicillin (units/mL),Streptomycin (µg/mL),Human Serum Albumin (HSA) (mg/mL),CD3/CD28/CD2 Activator,Sodium Pyruvate (PY) (mM),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),MEM Non-Essential Amino Acids (MEMAA) (mM),L-Arginine (ARG) (mM),SG-200 Solution (GLU) (mM),IL-2 (IU/mL),IL-12 (ng/mL),IL-18 (ng/mL),IL-21 (ng/mL),MEM Vitamin Solution (VS),PY Component 1 (mM),PY Component 2 (mM),HSA Fraction 1 (mg/mL),HSA Fraction 2 (mg/mL),Vitamin A (fraction),Vitamin B (fraction)
50,1,1,5,3,5,1,0,1,4,5,3,5,3,4,0,3,2138.333333,0.04276666666,2.430233333,0.017597761531485012,-1.7545425717512648,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
51,1,1,1,3,4,3,0,1,3,1,2,2,0,2,0,0,6551.666667,0.13103333334,2.430233333,0.053918005139961596,-1.2682661842163085,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
52,1,1,4,2,3,3,1,2,1,5,0,1,3,3,1,2,4390.0,0.0878,2.430233333,0.03612821814587464,-1.4421534574327286,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
53,1,1,2,3,4,1,2,1,5,0,3,0,0,2,4,1,310.0,0.0062,2.430233333,0.0025511953588203047,-2.593256283840577,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
54,1,1,2,4,1,2,2,2,1,0,3,3,4,4,1,1,2416.666667,0.04833333334,2.430233333,0.019888350918277856,-1.701401225763616,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
55,1,1,3,5,3,1,2,3,3,5,2,1,3,3,4,3,4368.333333,0.08736666666,2.430233333,0.03594990879009559,-1.4443022071450327,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
56,1,1,3,3,3,0,0,2,3,4,2,3,1,1,3,3,4188.333333,0.08376666665999999,2.430233333,0.03446856954949025,-1.4625767395004814,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
57,1,1,3,1,1,1,1,1,1,3,2,5,3,3,3,2,2348.333333,0.04696666666,2.430233333,0.019325990645524573,-1.713858235010783,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
58,1,1,4,1,4,2,1,3,4,2,2,4,1,3,0,1,4893.333333,0.09786666665999999,2.430233333,0.04027048157519449,-1.3950131768440448,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
59,1,1,5,3,0,2,1,3,2,2,0,4,4,4,1,2,6208.333333,0.12416666666,2.430233333,0.051092487694061266,-1.2916429509974998,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
60,1,1,5,4,4,0,0,1,3,2,2,2,1,3,0,1,4920.0,0.0984,2.430233333,0.04048993924321258,-1.3926528749074896,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
61,1,1,2,2,3,3,3,2,2,2,3,0,1,3,4,3,655.0,0.0131,2.430233333,0.00539042890331387,-2.268376677683067,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
62,1,1,5,1,3,2,1,1,3,0,0,4,0,0,3,0,4158.333333,0.08316666665999999,2.430233333,0.03422167967605602,-1.465698678133898,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
63,1,1,3,1,1,3,0,1,0,1,0,2,0,4,2,1,243.3333333,0.0048666666659999995,2.430233333,0.0020025511953588203,-2.698416372333549,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
64,1,1,1,3,4,3,1,3,3,2,0,5,1,3,4,0,6651.666667,0.13303333334,2.430233333,0.05474097138474234,-1.2616875002527066,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
65,1,1,4,3,5,3,3,3,3,5,2,5,2,0,0,3,675.0,0.0135,2.430233333,0.005555022152270018,-2.255314204843825,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
66,1,1,5,5,1,2,2,2,2,5,0,2,3,3,0,1,3865.0,0.0773,2.430233333,0.03180764536077573,-1.4974684794205062,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
67,1,1,3,2,0,3,3,3,2,4,3,5,0,4,0,3,22401.66667,0.44803333339999996,2.430233333,0.1843581549623984,-0.7343376469006246,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
